,keluhan
6551,
6552,masa e health baik sampai 2minggu
6553,
6554,halo min mau tny yg udh pny ektp trus udh mau deket masa expire itu perlu panjang lg ndak atau udh pakai masa program yg umur hidup itu
6555,
6556,berapa hari jadi min jarene mari ono korupsi e-ktp logistik kartu ne ganggu ono batas waktu ne gak dr terbit kk baru ke buat e-ktp
6557,
6558,min tanya lagi klo mau ganti ktp krn pindah datang ke sby telah kk baru jd trs piye
6559,
6560,salam hormat saya ukm rajin tempe mau urus pirt telah syarat saya lengkap dari dinkes uptsa saya suruh minta jadwal suluh di dinkes jemursari tapi dinkes jemursari nggak bisa ikut suluh karena tempe nggak ada dlm penyuluhandahulu saya sudah dapat sertifikat suluh thn 2010 sekarang nggak bisaterus nasib ukm seperti saya yang punya niat baik agar bimbing dan awas dinkes bagaimana dan saya butuh pirt sebut
6561,
6562,pagi bu risma yg hormat yg kami cinta ada pju padam panjang jl manuk peni dpn masjid baitul mukhlisin ada sekitar 5 titik pju padam mulai tadi malam sehingga warga rasa kuatir akan jadi tindak jahat di daerah sebut
6563,
6564,mohon informasi sampai skrng banyak dari warga yg agama hindu tanya ttg operasi krematorium di putih sedang sana akses jalan blm mungkin kira2 kapan operasi terima kasih belum
6565,
6566,anak saya klas 1 sd sampai sekarang belum terima bantu pinjam buku paket dr sekolah dg informasi akhir pihak sekolah juga belum terima dari dinas didik sedang waktu sdh 1 semester lebih dan ulang sdh jalan trus apa yg pakai pegang ajar anak sy untuk beli saya tdk mampu sktm apakah anak sy hrs jd korban kurang mampu sdm pegawai dinas tolong perhati
6567,
6568,kepada ythpemkot surabayasekarang tambah banyak motor2 yang guna knalpot dengan tingkat bising tinggi utama motor2 model ninja dan cbr sangat menganggu bahkan terkadang ada motor yang suara knalpot bisa buat gendang telinga nyerimohon pihak pemkot dengan koordinasi dinas kait bisa ambil tindak dan solusi terbaikterima kasih
6569,pagi saya ingin konfirmasi apakah e-ktp yang saya milik harus d panjang ingat masa laku akan akhir 2017 terimakasih
6570,ibu saya mau lapor bahwa di putat jaya barat gg lebar b 8 masih ada giat prostitusi baik siang maupun malam saya rasa ganggu karena suami saya akhir ikut2 an ndodot atau tidak pulang2 mohon ditindaklanjuti keluh saya ini belum saya ucap terima kasih
6571,
6572,re post bu risma ibu kami adalah guru pns smk8 dan telah wafat 1 5 bulan yang lalu sekarang keluarga ayah urus surat terang ahli waris di lurah namun syarat yg di aju sangat janggal kami minta oleh tugas lurah bu lis tulis jumlah saldo rekening akhir almarhum di masing2 bank syarat ini sangat menda ada turut kami padahal yg nama saldo bank akhir rupa rahasia nasabah yg harus di jaga bank dan untuk tahu print buku bank harus guna surat kuasa nah bagaimana bisa ada surat kuasa sedang ibu sudah wafat telah kita tanya ke tugas untuk apa perlu tulis hal tsb jawab dari pidak lurah adalah jika tabung lebih dari 30jt harus ke adil apakah benar spt itu tahu kami dari surat terang waris sebut baru kita ke depag untuk minta surat tetap hak waris tahu kami surat dari lurah hanya surat terang bahwa yg urus surat sebut memang ahli waris mana surat terang tsb di pakai untuk ke depag adil agama untuk buat surat tetap hak waris terima kasih atas perhati dan perlu ibu tahu tugas di lurah ujung yg satu ini sangat sewot masuk kepada org tua tidak layak orang abdi negara spt ini best regard bwm
6573,
6574,selamat siangsaya mau sampai keluh tentang e-ktp bisa mana ya saya aju pindah alamat dari sep 2016 sampai hari ini e-ktp belum jadi tapi berkas2 yg lain sudah jadi
6575,
6576,mohon bantu bu risma pemkot surabaya di jalan raya arjuna panjang hari dari pagi sampai malam ada polisi cepek atur jalan liar yang sangat ganggu mohon bantu tertib saya rasa juga ada bos nya di balik itu seperti koordinator emis
6577,
6578,selamat pagi bu risma sya ika wrg ploso 8 sby mo mnt solusi utk mslh sy sy sdh ditinggl prg oleh kluarga sy sktr 3th yg lalu mreka mningglkn sy krn sy selalu brselisih pham mrk ingn mnjual sy ke seseorng di jkt krn sy tolak ingin mrka krn itu ketika sy plg bkerja mrk sdh prg dan mngosongkn rmh dan mmbw kk asli smpai detik ini sy tdk tau dmn kberadan mrka sdgkn sy skr bkrj dan tnggl di jawatengah sy ingn tnggl dan mnetp d jateng dan akn mnkh tp smua itu tdk bs dkrenakn tdk ada kk asli sy sdh mncb knfirmsi ke rt dan rw tempat mreka mndpt ancman oleh ortu sy utk tdk mmbntu sy mngurus srt2 yg sy btuhkn demi allah sy bggung hrs bgaimana dan kpd siapa sy memint tolong dg sgla mcm mslh sy trmaksh
6579,
6580,terus kapan blankonya ada sehingga saya bisa terima ktp el saya
6581,
6582,ibu risma yth saya orang wali murid smpn seko anak saya ini mau ada pisah sekolah dengan ada tour ke bal wali murid tidak ajak rapat hanya seluruh murid suruh isi kuisiuner untuk pilih mau tour mana hasil bagi besar murid pilih ke bal saya ingat akan himbauan atau larang dari ibu untuk tidak study tour atau outbond atau lain ke luar kota cukup di dalam kota saja tanya saya apakah himbauan sebut masih laku kalau masih kenapa sekolah negeri sebut masih saja langgar mohon tanggap
6583,
6584,hujan yang sering guyur kota surabaya beberapa waktu belakang ini jadi beban pikir bagi saudara saya yang tinggal di kawasan karang menjangan banjir akibat luap sungai di belakang rumah jadi rutinitas saat hujan turun dengan intensitas tinggi moga ada perhati dari dinas kait untuk laku baik normalisasi sungai di kawasan karang menjangan khusus rt 01 rw 08 lurah airlangga camat gubeng atau belakang kampus b universitas airlangga
6585,
6586,nama akhmad rifa i selamat pagi saya mau tanya untuk urus ktp el itu berapa lama karena saya sudah urus mulai bulan september dan sampai sekarang belum jadi di surat terang selesai bulan november tetapi hingga sekarang belum jadi kata blanko buat printnya kosong saya tanya aoakah benar hingga lama itu belum jadi atau memang blanko kosong hingga bulan
6587,
6588,legalisir akta lahir itu mana ya maksud minta legalisirnya itu mana ya
6589,
6590,halloo selamat siang apa bisa ya saya info bgmn prosedur ganti nama yang salah di kk terima kasih jadi ada beda nama antara di akta lahir dengan kk dan maksud ingin ganti nama yang di kk agar sesuai dengan yang di akta lahir
6591,
6592,pak bu saya belum terima verifikasi akun saya sudah daftar dg beberapa nama user antara kb kreatif kb b lily kbbl tetapi beljum ada konfirmasi email mohon bantu
6593,
6594,bapak ibu yth kenal saya azzuhratun warda ana mahasiswi semester 6 di jurus administrasi bisnis konsentrasi pariwisata dan bisnis hospitality universitas mulawarman samarinda pada semester 7 nanti saya milik mata kuliah on the job training magang mana mata kuliah sebut milik beban 9 sks saya rencana untuk magang di dinas budaya dan pariwisata provinsi jawa timur yang sekira akan langsung lama 2-3 bulan oleh karena itu saya ingin tanya beberapa hal antara 1 apakah dinas budaya dan pariwisata provinsi jawa timur buka lowong magang bagi mahasiswa pada bulan september-desember 2017 2 apa saja yang sekira butuh bagai syarat magang di dinas budaya dan pariwisata provinsi jawa timur 3 bagaimana prosedur serah proposal magang hingga terima mahasiswa magang di dinas budaya dan pariwisata provinsi jawa timur mohon bapak ibu kenan beri saya informasi yang butuh atas perhati bapak ibu saya ucap terima kasih
6595,selamat malam lampu pju padam di kedurus iv rt 11 rw 3 belakang puskesmas kedurus pas mulai jum at kemarin padam dan aktifitas warga ganggu mohon segera baik rt 11 rw 3 lurah kedurus kec karang pilang terima kasih
6596,
6597,untuk tugas tempat tolong donk ini lokasi kan bukan area parkir apa boleh parkir tikung jalan seperti ini agak menggangu guna jalan masyarakat sekitar khusus huni terimakasih mohon ditindaklanjuti keluh kami lokasi jl soka tambaksari
6598,
6599,lapor jalan rusak 1 jl tembok sayur tiga tidar dan kalibutuh bekas proyek gorong-gorong 2 jl sukomanunggal jaya sekitar graha dst 3 jl darmo satelit satelit indah 2 arah rusak 4 jl dupak belum pos polisi bekas proyek gorong-gorong 5 jl dupak rukun telah pos polisi arah ke jembatan asem rowo
6600,
6601,dear sapawargasby pju panjang jalan tembok dukuh x padam kembali mohon bantu
6602,
6603,selamat malam satu pju di jalan kedurus iv belakang puskesmas kedurus dari jum at kemarin padam sedang yang lain nyala normal mohon baik rt 11 rw 3 kel kedurus kec karang pilang
6604,
6605,sapawargasby kenapa web http ehealth surabaya go id untuk daftar puskesmas tidak bisa di akses ya sudah beberapa hari coba tetap tidak bisa
6606,
6607,surabayakita sapawargasby bila pemkot sby akan laksana asing halal food dan non halal food di mal2 sby
6608,mohon jual bunga di jalan kedungdoro ke arah bubut tertib karena banyak mobil yang henti untuk beli bunga dan akibat lalu lintas ganggu terima kasih
6609,
6610,panjang jalan gubeng masjid utama sisi barat pagar pt kai dan di atas jembatan sungai selalu penuh dengan mobil parkir baik pribadi maupun taxi dan dagang kaki lima apakah tidak mungkin bersih steril cara permanen ingat jalur sebut rawan macet utama jam2 kereta api dan jam2 berangkat pulang kantor dan sekolah memang sering diobrak oleh pol pp maupun dinas kait tapi hanya selang hari sudah penuh lagi mohon tindak lanjut dari pemkot untuk tindak lanjut hal sebut aku cinta surabaya tertib dan bersih jaya terus pemkot surabaya dengan semua program
6611,
6612,kapan terminal bungurasih bersih dari calo kasihan para tumpang dari luar kota yg hrus paksa bayar tarif bus dari hrga tetap dan kadang sering jadi adu mulut
6613,
6614,admin mau tanya untuk selenggara tura ini dinas atau dari pemkot langsung bisa tura aju di wilayah kami trm ksh
6615,selamat pagi moleh minta alamat blc yg di taman flora itu masuk ke dalam taman flora ya
6616,
6617,pungli di samsat manyar surabaya saat sya urus bayar pajak spd motor yang atas nama paman sy pihak bagi formulir minta surat kuasa telah surat kuasa di buat pihak bagi formulir suruh orang sendiri yg datang dengan alas surat kuasa tandatangan tdk sama persis lihat kok ribet banget akhir aku di datang pihak calo telah di urus calo semua serba mudah tdk ada pake surat kuasa kami bagai pihak wajib pajak rasa di rugi siapa aparat perintah yg bisa bongkar mafia di lingkung pajak botor
6618,
6619,maaf mau tanya untuk tugas ambil sampah yang ambil sampah di gang di daerah kaliasin itu apa ikut dinas bersih trus apakah sampah itu ambil cara rutin atau bagaimana soal sampah di kaliasin gang 8 sudah tumpuk di depan banyak rumah dan hal ini sudah sering jadi mohon jelas dan bantu terima kasih
6620,
6621,nama saya endik susanto alamat tambak asri putri malu no 1 saya ngurus ektp mulai bulan september 2016 sampai hari ini belum jadi dan harus nunggu sampai april 2017 di camat krembangan mohon maaf saya tidak tau harus wadul ke siapa dan mana
6622,
6623,sapawargasby apakah semua layan yg hadir di situ tura semua gratis sperti pbb skrk pdam dll
6624,sapawargasby mohon maaf lupa ngabarin per kemarin pju sdh nyala kembali terima kasih
6625,
6626,sapawargasby kate takon min gawe e-lampid akte lahir iku wes onok nduk kabeh lurah ta bearti g perlu nduk rt-rw mane yo
6627,
6628,sapawargasby tidak dapat tidur rana ada warga yg pelihara anjing lebih dr satu ekor mana tempat adu masalah spt ini
6629,tolong ditindaklanjuti camat rungkut saya urus ubah status meni ektp urus kk untuk masuk anak saya yang telah lahir sudah hampir tahun belum juga jadi saya juga urus akte lahir anak saya bulan bulan sejak bulan agustus 16 baru jadi sekitar bulan januari tetapi jadi salah dalam tulis nama dua orang tua akhir saya kembali untuk baik tapi sampai sekarang belum juga ada kabar
6630,
6631,kepada yang hormat ibu risma saya warga ploso timur dan saya pindah alamat ke kapas lor jadi saya laku urus kk tapi dari bulan oktober akhir sampai sekarang kk saya belum juga selesai alas nya masih tunggu dan tunggu apa lagi saya yang kerja di luar kota ktp pun sudah mati dan kk tidak kunjung selesai dari pihak lurah kapas madya tolong di tindak lanjut bu terimaksih
6632,
6633,pju padam di jl panjang jiwo permai 2 no 30 mohon sgr baik
6634,
6635,selamat siang kami dari badan eksekutif mahasiswa fakultas ilmu sosial dan ilmu politik upn veteran kami akan ada seminar nasional dengan tema besar pengaruh politik hadap satu knri sini kami ingin datang narasumber untuk beri sudut pandang dari sisi politik hadap tema yang kami angkat di seminar nasional ini untuk narasumber sendiri kami rencana untuk datang walikota surabaya ibu tri rismaharini kalau boleh tahu bagaimana alur atau prosedur untuk datang ibu tri rismaharini bagai anrasumber di acara kami terima kasih dan mohon kerjasamanya
6636,saya warga surabaya ingin lapor tugas dkp yang dinas siang did aerah jl pandegiling dekat apotik kimia farma tugas angkut kotor got yang main kotor hingga kena guna jalan dan telah tegur malag tantang guna jalan sebut dan ingin keroyok mohon tindak tegas tugas sebut terima kasih
6637,selamat malam bu risma saya ada keluh bu sy dr kalimantan hari ini td ke plaza surabaya sana ada promo elektronik awal saya cm lewat tp ditawarin free souvenir eh tau sy bawa ke toko trus saya ajak ngobrol yg inti saya dpt undi hadiah elektronik kata klo dpt salah satu saya wajib beli saya blg saya gk mau dpt hadiah trus suruh ttd dan anter ke atm saya mau tanya bu bener jual seperti itu saya mau balikin barang2nya dan mnta uang kembali tp kata gk bs saya butuh uang buat ke rs bu buat ngurus org tua operasi sana
6638,maaf apa besok saya bisa daftar 28 03 kalau iua besok saya akan datang
6639,
6640,selamat siang mau tanya tempat kursus apa ada yg kosong ini kursus komputer kan
6641,
6642,selamat sore saya lapor ancam atas ibu saya dari salah satu staf pol umum puskesmas siwalankerto mohon tanggap
6643,
6644,nanya min sapawargasby ban mobil saya robek kena dasar plat lampu penyebrangan yg tajam apa bisa dapat ganti rugi makasih
6645,kbs tutup jam 17 00 sini hujan deras saya kakak saya dengan anak 4th sjk 16 00 masjid untk shalat dan tunggu hjn reda tapi sampai pukul 17 05 tdk satu ada tugas patroli harus tugas periksa apakah masih ada unjung dalam kami 2 org unjung lain ambil payung tenda yg bsar unt dpt keluar brsm kami tdk paham jalan keluar kondisi sdh sangat sepi sampai pintu keluar banyak tugas sedang duduk2 teduh otomatis saya tegur kok tdk ga periksa didlm apa msh ada org saya jawab ya bapak sini kan punya payung tugas jaga nah kita dalam gimana cara keluar sudah sepi tdk pny payung sgt sesal krn ini hujan sgt deras harus periksa lokasi ketika sdh jam tutup adl wajib pihak kbs bgmnpun ada memang mungkin tiap tempat punya sop beda tapi ya tolong di standart kan demi aman sama toh kbs kan ikon surabaya juga untk konfirmasi posisi kami dan 2 unjung lain masjid sjk pukul 16 00 dan kami tidak lihat maupun dengar pemberitahuan tugas bahkan saat saya konfirmasi luar jawab nanti juga akan keluar orang orang saya jwb ya bapak kan jaga sini dan punya payung
6646,wajah parkir sby parkir di taman bungkul karcis 2 rb tp di minta 3 rb waktu di tanya malah ngamuk parah lokasi dengan skatepark bungkul sapawargasby
6647,
6648,sapawargasby ganti e-ktp yg rusak laku di siola kan kalau sabtu buka atau tutup
6649,
6650,sdh mulai dr tgl 25 3 17 pju d panjang jln manuk asri dekat ps sore samping apotik jaya menggala manuk krajan padam sampai detik ini warga resah klo jadi tindak jahat d jln tsb mohon bantu dinas kait di pemkot surabaya terima kasih
6651,
6652,sapawargasby halo mau tny utk legalisir akta nikah catat sipil di adil negeri sby ya utk jam kerja nya hari apa saja terima kasih
6653,banggasurabaya e100ss sapawargasby noersidha dar saran selaku warga baik disudut2 kbs pasang cctv untuk pantau trims
6654,dear banggasurabaya pemkotsurabaya tolong bantu pju di panjang jalan tembok dukuh x sby padam sdh 3 hari ini commandsurabaya
6655,
6656,awas parkir pasar genteng masak mobil grandmax box di kena parkir 8rb waktu d minta karcis nya ga ada yg 8rb di kasih karcis 5 rban 2 lmbr akhire bayar 10rb dech
6657,
6658,mhon maaf cmn mau tanya saya anggota karang taruna apakah bisa mngjukan proposal ke pemkot utk minta bantu dana
6659,yth sapawarga surabaya mohon tertib polisi cepek dari pagi sampai malam di jalan raya arjuna sangat ganggu
6660,mohon bantu bapak polisi pariwisata surabaya kirim unit ke bangkal wisata bukit kapur bukit jedih sdh kali jadi kompas ampas motor -uang hp rampok yg laku oleh begal madura hadap para wisatawan lokal dan asing yg tidak rasa aman kunjung ke obyek wisata tsb bupati dan polisi tempat tidak meresponsenya walau sdh lapor
6661,saya mau komplain di jalan merr2c kalau hari biasa dan paling parah hari sabtu di buat ajang balap mulai jam 00 00 sampai jam 03 00 pagi tolong dong supaya di tangkap semua anak yang bikin berisik agar mereka tidak ulang lagi balap liar dan supaya kami bisa istirahat malam dengan tenang jalan merr2c arah apartement gunawang sampai arah gunung anyar yang di buat balap liar terima kasih
6662,mohon bantu dkp utk dapat tebang pohon yg sdh miring dan topang pada dinding tanah kosong di jalan grudo 1 kel dr sutomo karena klu roboh pohon sebut akan roboh diding dan akar akan rusak jalan grudo 1ketua rt 01 grudokel dr sutomo
6663,
6664,selamat siang saya jennifer efendi mahasiswi uk tra surabaya fakultas seni dan desain program studi desain komunikasi visual saya ingin tahu apakah tembok gedung usaha miilik pt pertamina pt telkom pt asuransi central asia pt sungai abadi prima master bank yang hadap jalan veteran surabaya boleh di mural apabila saya dapat izin dari pt yang sangkut dan apabila saya dan tim dapat ijin dari usaha yang sangkut apakah kami harus dapat ijin dari pemkot juga untuk dapat jalan giat ini karena saya dengar jalan veteran masuk cagar budaya surabaya giat mural ini selenggara oleh mahasiswa fakultas seni dan desain uk tra yang akan kolaborasi dengan komunitas mural dan warga tempat untuk penting tugas project dari program studi saya project ini sifat non-profit dan tuju bagai bentuk respon selesai salah satu masalah sosial di surabaya yaitu vandalisme aksi corat-coret yang akibat rusak indah dan bersih kota saya dan tim pilih gedung di jalan veteran karena di sana dapat banyak hasil corat-coret tidak tanggung jawab sehingga jalan veteran efektif untuk sampai pesan anti-vandalisme apabila kenan apakah kami dapat temu dengan pihak yang sangkut untuk presentasi project kami atas perhati anda saya sampai terima kasih saya tunggu responnya
6665,mohon jelas apakah proses akhir salur gas di wilayah jaring asri utk langgan rumah tangga beban biaya administrasi terima kasih atas jawab
6666,kepada dinas yg kait mohon untuk tertib anak2 muda yg biasa nongkrong di warung toko belah utara masjid baitul muslimin babatan gg 1 kec wiyung surabaya itu kalau malam sering buat anak2 muda utk minum mabok terkadang laki perempuan begadang situ hampir tengah malam kalau bisa sama milik warung utk beri bina sekali atas perhati saya ucap terima kasih
6667,
6668,selamat malam dulur dar info mohon hadap kait dunia parkir untuk segera tertib parkir liar yang ada di kota surabaya cinta ikut alam saya kait dengan dunia parkir liar di surabaya khusus di depan kantor indovision mnc skyvision di jalan ngagel jaya no 111 pada hari senin 21 maret 2017 saya antar kerabat untuk letak lamar di usaha sebut dan parkir di halaman kantor dan bukan di pinggir jalan pada saat mau keluar dari parkir muncul sosok wanita yang keluar dari warung tepat di depan kantor yang notabene tiup peluit parkir dan minta saya untuk bayar parkir pada saat saya tanya karcis parkir ikut arah dishub kota surabaya sang ibu sebut malah kata saya cerewet karena malas ribut saya tinggal langsung dan mobil saya pukul bagi belakang 2 pada hari kamis 23 maret 2017 saya antar kembali kerabat saya wawancara lanjut di kantor yang sama dan jumpa sosok mahkluk hidup yang sama pula pada saat akan tinggal lokasi kantor sang ibu datang lagi dan minta uang parkir dobel dengan datang saya belum pada saat saya minta karcis parkir lagi sang ibu kata saya bu ada karcis parkir oknum sampeyan kok cerewet muka kesals lho kan tarik parkir ya kudu ada karcis parkir to o lho sampeyan kok cerewet kabeh sing parkir nang kene bayar nang aku s lha iya ibu karcis parkir mana o dengan muka kesal tengah mati doi keluar karcis parkir kadaluarsa dari warung seraya kata sampeyan njaluk karcis kan iki lho aku resmi s lho itu kan wes bekas sobek bu o dengan muka makin kesal bekas teko ndi anak entuk teko kono mboh kono ndi hubung tidak mau rame saya bayar saja dan pas saya bayar parkir si oknumperparkiran ini berkatao dobel mbe sing wingipoin dari cerpen saya kali ini adalah 1 si oknum jual di trotoar jalan yang ganggu pejal kaki di daerah sebut 2 apakah ini jadi buah sakit di bidang parkir kota surabaya yang harus maklum catat turut aku doi si oknum parkir ini anak yang dapat beli karcis parkir rupa karyawan yang kerja di kantor mnc sky vision juga dan salah satu security di kantor sebut juga beri info bahwa hal ini sering jadi dan sudah biasa kalau ada calon karyawan yang interview dan parkir di halaman kantor memang harus bayar ke oknum parkir sebut ada tanggap kah dari pihak kait atau dari netizen sekali atas curhatan dan cerpen saya kali ini atas perhati saya ucap terima kasih
6669,
6670,dengan hormatkepala satpol ppkota surabayasaya adalah warga jl raya darmo permai 1 sejak ada depot mbok lemu yang tempat di jl raya darmo permai 1 33 yang buka mulai pukul 19 00-01 00 dini hari kami rasa sangat ganggu karena tiap hari depot sebut selalu setel musik dengan keras sampai dengan dini hari dan karyawan yang ada di sana tertawa bahak dengan keras dan tidak itu saja depot sebut setel musik dengan volume yang sangat keras dengan dua buah speaker yang pasang di depan suasana ini sangat ganggu tenang warga yang hendak istirahat kami warga di sekitar telah lapor kepada rt tempat dan milik depot yang sangkut telah ingat tegur kali kali agar tidak setel musik dengan keras dan jam 22 00 musik yang setel harus segera mati namun milik hanya iya namun tiap hari masih saja tidak indah hampir tiap malam satpam juga sudah beri ingat kepada pihak milik tapi tidak pernah indah karena kami rasa sangat ganggu dan di lain pihak kami sudah tidak bisa lagi upaya apa apa maka harap akhir kami adalah dengan lapor masalah ini tentu saja karena hari tambah malam dan jalan makin sepi dan sunyi maka suara dari speaker dan gelak tawa sebut jadi sangat menggangu sekali kami selain itu juga rasa bahwa depot mbok lemu ini juga tidak punya ijin usaha saya kira untuk untuk rumah tinggal dan bukan untuk depot atau rumah makan saya lihat di spanduk juga tidak ada stempel dari perintah kota surabaya kami harap agar kami bagai warga di sekitar dapat dengar keluh kami ini dan masalah ini dapat ditindaklanjuti dengan baik terimakasih wibowo
6671,
6672,saya keluh akan parkir di daerah kebun bibit mana kalau waktu hari libur tarif parkir mobil jadi 5000 mana alas kalau hari libur setor naik apa benar ini
6673,ibu risma yth apakah pegang ktp yg berexpired hrs ke siola unt klarifikasi yg dulu saya dengar itu sdh otomatis jadi umur hidup mana yg benar ya bu trm ksh
6674,asslkm wr wb ibu walikota yang saya bangga saya p rw 2 di kel bulak banteng mohon tunjuk karena wilayah ada orang warga yang sangat perlu butuh bantu karena rumah mau runtuh hancur atap orang sebut sudah tua dan jauh dari keluarga alamat ada di jl bulak banteng lor gang 4 no 48 dinas kait apa yang bisa bantu atas tunjuk dan bantuanya kami ucap terima kasih p rw
6675,kapan di tahun 2017 ini rt rw dan lpmk di jadwal temu dengan ibu walikota terima kasih
6676,
6677,mohon perhati untuk lampu pju di jl darmo harap utara ixsebagian mati terima kasih atas perhati
6678,
6679,mohon tunjuk apa saja yg perlu di siap jika ingin urus akta lahir online terima kasih belum
6680,terimakasih atas bantu lampu pju sudah nyala beberapa hari yg lalu terimakasih
6681,di tl empat bratang bangun baratajaya xix tera papan nama jalan bratang jaya pdhal warga tempat kenal sbg jl baratajaya yg mana yg benar utk tulis alamat yg baku terimakasih cq dishub pemkot sby
6682,
6683,karena ktp sekarang umur hidup ketika ada ubah data apakah nanti kita dapat ktp dengan data yang telah ubah
6684,
6685,saya mau ngurus panjang e ktp karena ada ubah data bgmn alur prosedur dan dimna urus
6686,
6687,pju padam di jl manuk tengah depan rumah no 9 k 10 mohon segera baik trm ksh
6688,
6689,pju padam di jl raya wonorejo 1 depan rumah nomor 12 mohon segera baik terima kasih
6690,
6691,pju padam di jl manuk tengah no 17 mohon segera baik
6692,
6693,kepada yth dinas hubung pemkot sby dinas terkaitmohon dapat di cek garis parkir di depan bank of india jl tunjung garis sebut terlalu dekat dengan gang pintu masuk kampung tandan sehingga kami warga tandan kalau keluar dengan motor dari gang pintu masuk kampung tandan ke jl tunjung terlalu sempit kami kuatir kendara dari belakang potensi tabrak motor yang mau keluar sebut garis parkir mohon di kurang 1 mobil biar aman bagi kami matur nwuuun
6694,
6695,kapan jalan bangking telah aspol bangking baik sudah rusak parah sekali lubang dalam tengah ban sepeda motor bikin macet karena kendara harus hati tolong respon cepat terima kasih
6696,
6697,siang bu risma tolong jalan rusak parah dii dekat asrama polisi bangking surabaya sudah aspal tapi rusak lagi entah karena drainase atau karena jalan yg lebih rendah banding selokan jalan sebut tiap hari banyak lalu sepeda motor sangat bahaya jika banjir parah masih harus hadap resiko jatuh karena jalan rusak tolong segera baik karena sangat parah tolong jangan tunggu jatuh korban
6698,
6699,potong pohon dari dinas taman dan pematusan di panjang jalan simorejo sudah hampir minggu belum angkut potongan2 nya dan ganggu guna jalan terima kasih
6700,
6701,menindaklanjuti keluh saya dan warga gunung anyar harap kait pasang speed trap di rungkut tanggal harap blok p yang terlalu tinggi kemarin speed trap buat oleh urus rt tempat tanpa koordinasi atau konsultasi dg dinas kait sehingga bahaya kendara sepeda motor dan mobil sedan yang lewat jalan sebut
6702,pagi bu risma saya huni baru di wiyung gang pasar mau menkonfirmasikan bahwa di wiyung gang pasar saya tarik biaya baik jalan kampung tp jln kampung tdk pernah baik sedang untuk mengurug jln rusak saya keluar biaya sendiri tlg tertib bu masalah baik jalan di wiyung gang pasar karena saya minoritas dan kes tekan sama rtnya
6703,selamat pagi bapak ibu saya warga surabaya keluh kena tiang listrik pju yang ada depan rumah saya kondisi tiang listrik tsb sudah miring dan keropos bagi bawah apalagi tiang pju tsb muat arus listrik yang lumayan besar mohon bantu dalam tindak lanjut hal ini terima kasih
6704,saya mau tanya untuk tambah ijin usaha jenis usaha di ud bagaimana cara
6705,
6706,selamat pagi kenal saya zainal gunung anyar saya apresiasi program sapawarga pemkot suurabaya ini moga jadi jembatan warga untuk maju surabaya sama amin
6707,
6708,awas parkir pasar genteng masak mobil grandmax box di kena parkir 8rb waktu d minta karcis nya ga ada yg 8rb di kasih karcis 5 rban 2 lmbr akhire bayar 10rb dech
6709,
6710,selamat malam dulur dar info mohon hadap kait dunia parkir untuk segera tertib parkir liar yang ada di kota surabaya cinta ikut alam saya kait dengan dunia parkir liar di surabaya khusus di depan kantor indovision mnc skyvision di jalan ngagel jaya no 11 1 pada hari senin 21 maret 2017 saya antar kerabat untuk letak lamar di usaha sebut dan parkir di halaman kantor dan bukan di pinggir jalan pada saat mau keluar dari parkir muncul sosok wanita yang keluar dari warung tepat di depan kantor yang notabene tiup peluit parkir dan minta saya untuk bayar parkir pada saat saya tanya karcis parkir ikut arah dishub kota surabaya sang ibu sebut malah kata saya cerewet karena malas ribut saya tinggal langsung dan mobil saya pukul bagi belakang 2 pada hari kamis 23 maret 2017 saya antar kembali kerabat saya wawancara lanjut di kantor yang sama dan jumpa sosok mahkluk hidup yang sama pula pada saat akan tinggal lokasi kantor sang ibu datang lagi dan minta uang parkir dobel dengan datang saya belum pada saat saya minta karcis parkir lagi sang ibu kata saya bu ada karcis parkir oknum sampeyan kok cerewet muka kesal s lho kan tarik parkir ya kudu ada karcis parkir to o lho sampeyan kok cerewet kabeh sing parkir nang kene bayar nang aku s lha iya ibu karcis parkir mana o dengan muka kesal tengah mati doi keluar karcis parkir kadaluarsa dari warung seraya kata sampeyan njaluk karcis kan iki lho aku resmi s lho itu kan wes bekas sobek bu o dengan muka makin kesal bekas teko ndi anak entuk teko kono mboh kono ndi hubung tidak mau rame saya bayar saja dan pas saya bayar parkir si oknumperparkiran ini kata o dobel mbe sing wing poin dari cerpen saya kali ini adalah 1 si oknum jual di trotoar jalan yang ganggu pejal kaki di daerah sebut 2 apakah ini jadi buah sakit di bidang parkir kota surabaya yang harus maklum catat turut aku doi si oknum parkir ini anak yang dapat beli karcis parkir rupa karyawan yang kerja di kantor mnc sky vision juga dan salah satu security di kantor sebut juga beri info bahwa hal ini sering jadi dan sudah biasa kalau ada calon karyawan yang interview dan parkir di halaman kantor memang harus bayar ke oknum parkir sebut ada tanggap kah dari pihak kait atau dari netizen sekali atas curhatan dan cerpen saya kali ini atas perhati saya ucap terima kasih
6711,
6712,sapawargasby gk harus k dispenduk yaaa
6713,
6714,utk pngurusan akte lahir dmn yaaa min sapawargasby
6715,
6716,saya sudah daftar online siup username la grande dari terang sudah daftar tapi sampai sekarang masih belum terima kode verifikasi baik lalu email maupun sms
6717,
6718,kalo ada situs balai besar boleh saya minta
6719,
6720,tiga jalan raya tengger belok kiri banjir tolong baik trimakasih
6721,
6722,sapawargasby mnt tlg kpd dinas kait utk tmn di jln kombes pol m duriat ini krgnya terang dan bnyk yg mesra pd mlm hari trims
6723,
