,keluhan_clean
4724,miin sapawarga kota surabaya rute parade bunga 7mei besok finish balkot atw tman bungkul mohon info jelas mksh
4725,selamat pagi admin beberapa hari lalu pernah tonton video penenrapan smart city traffic arus lalu lintas bisa minta link nya terima kasih oktavianus teguh p mahasiswa pasca sarjana t informatika universitas atma jaya yogyakarta
4726,mohon pemkot surabaya baik manajemen pdam surya sembada ganti jajar pimpin orang etos kerja tinggi ahok tugas kerja 24 jam 7 hari minggu atas ganggu suplai air warga kota surabaya pdam rumah nirwana eksekutif blok ee mati lapor 3 kali hari call center pdam tidak tindak lanjut
4727,kapan e ktp selesai jadwal tanggal 15 desember 2016 lalu info bulan maret skrg tdk kabar
4728,salam kenal lampu pju rumah gunung anyar harap mati nyala mohon bantu
4729,jalan simo jawar tempat penyebrangan sangat bahaya pas tikung tajam mohon beri tempat penyebrangan aman
4730,nadia lagi urus ubah alamat tdp pt sigma intan mahakarya kok suruh upload surat nyata pernah urus milik tdp apdahal sudah punya tdp sudah upload tdp lama nomor online 17575
4731,mau tanya pasang spanduk reklame dagang di depan ruko notabene ruko di wilayah rumah milik kembang apa kena pajak
4732,18 april ke dispendukcapil surabaya ubah data suami kartu keluarga kk butuh data benar urus tabung haji semua lengkap berkas bawa salah satu akta lahir legalisasi dinas kait tugas dispendukcapil sedia ubah nama suami kurang satu huruf kk soal nama cantum akta lahir upa singkat muh tugas saran untuk urus revisi akta lahir padahal semua berkas milik suami baik ijazah akta nikah maupun surat daftar pergi haji spph cantum nama muhammad turut panjang muh sudah umum muhammad mohon tanggap dan solusi
4733,sapawargasby arti ada tunjuk atraksi pawai balai kota spt tahun lalu jadi atraksi pindah bungkul bgtukah
4734,pju padam rungkut tanggal harap v 10 mhn sgr baik
4735,selamat pagi sampai pemkot sudah hari wifi taman lansia bisa guna mohon kira segera tindak lanjut trimakasihandri kartika nigrohowarga gubeng jaya gang 2 no 29b
4736,assalamu alaikum wr wb bu risma ini warga surabaya nama khoir 3 tahun lalu pernah urus surat pindah sampai camat belum selesai trus sekarang urus lewat online tapi no nik sudah daftar terus bagaimana bu di jawab nik 3578274302800004
4737,selamat siang maaf mau tanya apa blc wilayah wiyung sekarang ada
4738,blc paling dekat daerah dawarblandong mojokerto mana situ rumah apa juga daerah ngagel
4739,maaf mau nanya apa ada daftar kursus komputer gratis
4740,selamat pagi sy bu atik sy bukan warga sby sy tinggal mojokerto anak sulung sy sekolah sby sy damba walikota ibu risma utk mojokerto sy pribadi ingiiiiin sekaliiii temu bu risma sebentar dar salam bgmna cara apa sy temu kantor bu risma terimakasih
4741,selamat pagi pohon depan rumah besar sekali kalau hujan angin dahan2nya sering patah mohon info bagaimana cara mohon mangkas pohon depan rumah rapi bukan tebang terimakasih lokasi jl bkr ajar 30 depan sma9 pohon tsb pinggir jalan besar tinggi sekali lebih atap rumah 15 m ranting pernah patah timpa anak sekolah mhn ditindaklanjuti trm ksh
4742,mohon perhati utk atur lalin dishub trkait bangun salur air box cluvert jl biliton tiga dg jl sulawesi trm ksh
4743,salam rully virayanti warga karang pilang jl nogosoro no 4 kompl-marinir surabaya data daftar e-ktp nama muhammad victory elang yuda tamajenis kelamin laki - laki tempat lahir surabayatanggal lahir 18 mei 1999nik 357801180599001adik m victor elang daftar e-ktp sejak juni 2016 sampai sekarang e-ktp nya jadi hari saat kantor camat datang pihak camat kata e-ktp adik belum selesai blangko habis sama alasan2 lama urus e-ktp lapor banyak warga media center lebih parah kata blangko baru maret 2017 datang arti seluruh warga camat karang pilang sedang urus e-ktp tunggu lama suami yang urus e-ktp awal gresik hanya tunggu lama 2 bulan salah satu camat surabaya buat adik tunggu 9 bulan mohon tindak lanjut lebih mohon maaf bila salah salah kata terima kasih
4744,sapawargasby min min masuk dukung layan nyaman pasien pukesmas pakis butuh dingin ruang minimal kipas angin
4745,sapawargasby mohon info rute pawai bunga kata ubah rute finish taman bungkul
4746,ry jemursari sktr dpn ktr jamsostek jln lubang yg membhykn kendara r2 mohon bantu sapawargasby terima kasih
4747,sapawargasby maaf mau tanya min gimana cara urus buat e-ktp yg hilang mohon bantu
4748,sampun pak data di ektp sudah pernah cek data iris mata maupun finger harus cek
4749,8 bulan biar ktp bisa sebut langgar hukum proses cetak ektp susah mesti nunggu 7 hari kapan lalu nunggu 8 bulan blanko kosong sekarang nunggu 1 minggu proses cetak sapawargasby
4750,assalaamu alaik um warahmatullaahi wabarakaatuh ingin tanya lapor mana kalau dagang pkl menggangu depan rumah belum beberapa kali tegur dagang sebut tidak jual depan rumah sebab menggangu nyaman bersih lingkung saat saudara tamu jadi hrus parkir depan rumah tetangga jadi sungkan mohon pihak media center tanggap wa alaikumussalaam warahmatullaahi wabarakaatuh
4751,selamat siang bapak ibu admin sapawarga ingin tanya satu kena giat rutin pemkot surabaya lain festival giat lomba mds merdeka sampah kapan mulai sampai hari kok ada konfirmasi kapan lounching terima kasih
4752,min mau tanya dlm urus akta lahir online kan syarat fc akta nikah dilegalisir trus kalo mau legalisir buku nikah dmn
4753,sapawargasby malam ke-6 alhamdulillah pju jl tanggal utara nyala terima kasih buat satgas dkrth atas baik
4754,sapawargasby lubang jalan raya tengger sblm jembatab bahaya sekali sering tutup genang
4755,jl kendangsari h no 23 bangun rumah cukup besar sangat ganggu lama saya pernah beri tahu anak istri kenah sakit kulit gak tidur kalau sedang ngecor dihemtikan tanya amdalnya syarat imb teriama kasih atas jati
4756,selamat siang bu risma fika rumdis rss wonosari bulak banteng bu mau keluh susah air sini tiap sabtu minggu mana waktu libur bersih2 air pdam selalu mati bahkan kemari tgl 1 smp skrg tgl 3 mei air tidak alir sama sekali sampai2 beli air hari 35rb sangat boros turut mhon bantu bu apa masalah pdam kalau jalan keluar pun mau kalau suruh iur baik cz air butuh penting sehari2 mhon bantu nya bu
4757,istri lupa bayar surat ijo 5 tahun bagaimana cara lunas apa yg laku terima kasih
4758,selamat siang team media center bu risma ingin keluh warga margorukun vi lurah gundih camat bubut air pdam wilayah sangat sulit sekali krn alir jam 3 - 5 pagi jam 7-9 malam selalu ada air pdam keluar kira2 apa harap mohon ada tindak lebih lanjut pada siang dan malam hari bisa air bersih terima kasih
4759,tindak lanjut pdam daerah dukuh setro rawasan mulai sabtu tgl 8 april 2017 skr keluar terima kasih
4760,kpd yg wenang mohon utk baik layan pdam makin lama sy sulit air bersih utk wilayah randu timur lebar 1 lurah sidotopo kec kenjeran yg mana siang biasa keluar skrg jd mlm hari jam 12 sd 1 dinihari
4761,selamat pagi bu risma naya nafi ingin keluh ibunda assalaamualaikum wr wb bu bu suliyati mohon bantu ibu alamat benowo krajan gang makam 19 hari tidak alir air pdam lapor via telp 4 hr tdk keluar air blm tanggap lalu dtg kantor pdam siang datang tugas mensurvey bu saat survey tdk lokasi sedang tugas sdh pesan kalau datang mohon diberitahu damping tp tdk bel yg msk tanya kata tugas memang debit air tempat kecil akan cari solusi bu risma hormat tandon air sdh habis kalau mandi ngungsi saudara kamar kecil wudhu minta tetangga punya sumur mohon bantu ibu kapan saya harus tunggu air alir krn tiap malam saya bangun harap air nyata angin yang keluar keluh saya sekali mohon bantu ibu ibu harap saya terima kasih waalaikum salam wr wb
4762,slmt siang mohon tambal jalan berlobang jalan ngl jaya tengah 6 depan persil no 31
4763,dishub kota surabaya polantas konsisten tebang pilih tega atur larang parkir depan gdc rs soetomo tiap hari saja taxi parkir enak sana biar sedang kalau mobil pribadi tilang kempes
4764,mohon terang jelas benar warga kota surabaya berktp surabaya layan bayar puskesmas waktu antar warga yg sedang sakit tanya dokter daftar ktp berktp surabaya warga tdk kena biaya sama sekali terimakasih atas kerjasamanya
4765,ingin aju proposal mohon pavingisasi daerah wonorejo iii jalan sdh banyak yg rusak lubang becek hujan pihak rt rw lurah wonorejo menandatangi surat mohon sebut pak camat tegalsari mau menandatangani dg alas yg jelas mohon bantu media center surat mohon tersebug yg salah ada lain pak camat tegalsari sedia menandatangani surat sebut
4766,pak kalau komunitas yg mau ngadain acara kebun bibit ijinnya bagaimana
4767,selamat malam sy erick dwi ananta sy mau lapor lampu pju depan rumah bapak nata jalan medok sawah timur gang 5 no 19 mati hidup mati hidup segera tindak lanjut dinas kait sy sdh coba ulang kali lalu web mediacenter selalu error trims
4768,sapawargasby tadi lihat d jalan ngagel jaya tengah sudah aspal jalan lubang yg depan cafe lumer
4769,4 empat pju padam jl tanggal utara no 56 sd 94 mohon kira dapat perhati baik atas kondisi maksud terima kasih
4770,layan pln surabaya tepat rayon kenjeran utk blokir token langgan pemberitahuan resmi kemarin tahu kejut ada sisa bayar 4 tahun lalu saya isi token bisa langsung blokir ada pemberitahuan sehingga langgan rasa rugi sisa bayar kok ada padahal saya ganti daya token uda hampir 4 tahun waktu ganti daya kok tagih selang beberapa bulan ada apa mohon jelas
4771,rt rw lingkung aju mohon sarana prasarana lalu jasmas 2016 kemudian tuju anggar 2017 ubah urus rt rw lingkung agar terima dana hibah yg aju urus periode harus minta surat terang yg terang ubah urus buka rekening bank jatim bagai syarat cair dana utk sar prastetapi lurah mau buat surat terang tsb alas tunggu perintah bagi pemerintahanpadahal kalau turut ini sederhana sama warga musim minta rt rw buat surat terang domisili buka rekening tuju transfer gajiyg tanya prosedur memang lurah cat lurah kebraon kec karangpilang
4772,tgl brp festival rujak uleg
4773,selamat siang bapak ibu jabat pemkot wenang ijinkan sampai ungkap keluh warga kait program ibu walikota surabaya distribusi gas negara perlu bpk ibu tahu sambung gas daerah di wilayah kampung jaring kel penjaringansari camat rungkut rata yg sambung sudah tagih banyak belm koneksi krn cek tugas pgn nyata gas keluar tsb sdh lapor kira2 2 bln yg lalu sampai sekarang ada tindak mohon perhati perintah
4774,sapawargasby keluh pju mana nggih ingat saat pju komplek rumah wahyu basuki jalan tanggal utara kel pagesangan kec jambang kota surabaya padam
4775,parkir toko roti visa jl anti wiyung karcis tera rp 1000 waktu bayar rp 5000 rp 2000 luar biasa
4776,selamat pagi zaqi mau tanya ikut kursus komputer gratis gmn cara mohon info terimakasih
4777,salam hormat dari diskominfo kab bolaang mongondow selatan prov sulawesi utara rencana studi kooperatif dinkominfo surabaya mohon tunjuk konfirmasi sedia terima kasih
4778,assalammu alaikum warahmatullahi wabarakatuhselamat malam bu rismakami atas nama warga jl sambiroto 3 jl sambiroto 2 terimakasih lampu terang jalan jl sambiroto 3 jl sambiroto 2 rumah bumi wana lestari kec sambikerep - surabaya nyala atas perhati bantu terimakasih wasalam alaikum warahmatullahi wabarakatuhsalam hormatarief imam subektijl sambiroto 3 blok c no 8perumahan bumi wana lestarisambikerep surabaya
4779,sy mau ikut latih blc camat pakal cara bagaimana apa sj syarat
4780,jl genting arah tambak asri lubang sering jatuh kendara moror bahkan saling serempet dg jalan mhon bantu saudara dinas kait
4781,mohon tertib daerah pandigiling belah barat hotel santika banyak dagang jual tahu bulat parkir sembarang atas trotoar kadang parkir pas dpn pintu pagar di bilangin warga tetep ngeyel harap dinas kait pihak satpol pp tertib biasa parkir mulai subuh pukul 04 30 09 30 kadang bikin macet daerah pandigiling jalan jadi makin sempit mohon pihak dishub satpol pp sikap tegas ayom masyarakat surabayatertibdisiplin
4782,maaf ingin ngelamar jadi satpol pp linmas apa ijazah sma ngelamar mana kalau tahu
4783,dear sapawargasby sy warga pesapen kali rt 5 rw 1 krembangan utara mhn untk tertib kambing2 yg kotor kmpng
4784,keluarga bpjs suatu hari sesuatu tunggak iur sebut rp 1 275 000 - an akhir bulan september 2016 lunas semua tunggak sebut jalan waktu terus bayar iur bulan bulan maret saat mau kartu bpjs sebut kata puskesmas sebut bpjs guna blokir datang kantor bpjs jl dharmahusada tugas layan tetap nyata kartu tetap blokir hal wenang bank terima iur bingung bolak blaik 4 kali tetap tidak ada solusi terus harus adu mana mohon bantu pemkot tolong terima kasih
4785,mohon maaf keluh pak rt ini mantan mana tarik biaya warga biaya pasang sambung pipa gas warga bayar berat kantor pgn dapat surat nyata pgn tugas rt tempat mungut biaya sambung langgan gas sebut ibu risma mau lapor ibu pungli yang laku mantan rt sebut atas bantu kami ucap terima kasih
4786,selamat pagi mohon maaf ganggu ade imas mahasiswi unair mau tanya jadi sudah aju proposal aju dana pemkot kait international conference topik papernya bahas surabaya eco-city mohon maaf mau tanya dari pemkot memang alokasi anggar dana giat conference macam terima kasih
4787,itu bisa langsung cetak camat tempat
4788,selamat pagi ibu risma bpk ibu sy sejak awal 2016 sibuk dng urus e ktp stelah ulang harua reka ulang foto sejak aprilm2106 data nyata sdh oke mesti nunggu blanko tiap sms dispenduk jawab blanko blm sedia kemarin sy sms nanyakan kata foto ulang bgmn pak akhir jawab blm bs mhn perhati kms lihat kerja dispenduk yg mnrt sy repot masyarakat no nik nya pak 3578202908950006 an alfons klemens ugo 3578034508630001 an ria lasmiati imanudin trmkasih
4789,tinggal camat gayung info dr kantor kec gayung apa daftar blc kantor camat tsb
4790,mohon informasi syarat daftar jadwal awal laksana ikut program blc surabaya
4791,kenal singgih setjen dpr ri pak jadi sub media sosial website setjen dpr ri maksud kunjung media center surabaya tahu kelola media center surabaya utama kait media sosial website pak
4792,kira2 berapa lama jadi berapa biaya nya
4793,min mau tanya bgmn prosedur urus akta lahir buat bayi baru lahir apa aplikasi scra online
4794,benar puskesmas jam operasional jam berapa jam brp kadang 6 30wib kadang 7 00wib sapawargasby
4795,sapawargasby lubang besar belok kertajaya dekat pom bensin sdh sring d aspal tp masii lubang mohon sgera benah krn bahaya
4796,sapawargasby mohon benah jln lubang dskitar jln barata jaya tepat d belok dekt circle k berbhaya buat r2 mlm hri trm ksih
4797,kl mw bikin akte lahir dmna sapawargasby
4798,sapawargasby e ktp habis waktu perlu panjang
4799,slamat malam nama pak darsono alamat pucang sawit no 2 sby lapor call center 112 hari sabtu tgl 15 april 2017 amen yg bikin resah masyarakat samping gerombol 5 -10 orang larut malam jam 12 00 tapi lapor blum ada tangap pemkot skrng saya mohon utk lanjut trimakasih atas sgala bantu slamat malam
4800,slamat malam nama pak darsono alamat pucang sawit no 2 sby lapor call center 112 hari sabtu tgl 15 april 2017 amen yg bikin resah masyarakat samping gerombol 5 -10 orang larut malam jam 12 00 tapi lapor blum ada tangap pemkot skrng saya mohon utk lanjut trimakasih atas sgala bantu slamat malam
4801,selamat siang mohon informasi proses limpah bayar rekening pju perintah kota surabaya butuh berapa lama bisa alih proses bayar terima kasihpju swadaya masyarakat yg mau aju limpah trims
4802,masih buka daftar kursus komputer gratis
4803,klu aju bantu tanam jga bagaimana
4804,klu yg dana hibah bagaimana cara bu
4805,gni mau tnyk klu mau aju bantu gorong2 bagai mana cara bu bapaksoalnya wilayah kampung it klu hujan lebat sering bngt bajir jjur sampai kasih sama orang tua2 klu rmhnya kembanjiran smpai beliunya nguras kasur baju yg lemari basah kuyupmakanya pngn bngt aju tp jjur tidak tau cara
4806,assalammu alaikum warahmatullahi wabarakatuhmohon maaf bu rismakami atas nama warga jl sambiroto 3 jl sambiroto 2 lapor lampu terang jalan jl sambiroto 3 jl sambiroto 2 rumah bumi wana lestari kec sambikerep - surabaya sejak kemarin tgl 20-4-2017 padam atas perhati bantu terimakasih wasalam alaikum warahmatullahi wabarakatuhsalam hormatarief imam subektijl sambiroto 3 blok c no 8perumahan bumi wana lestarisambikerep surabaya
4807,phn dpn ps genteng pot pecah risiko tinggi jk angin bs roboh timpa mobil org sapawargasby
4808,dear admin mohon bantu lampu pju tiga bratang wetan gg 1 gg 4 sering mati sendiri mohon pihak kait kenan baik terima kasih
4809,slmt sing dkrth lapor tumpu sampah hasil kerja bakti warga jalan ngagel timur no 4
4810,lapor pju jl pumpungan gg masjid depan sd al-amin sering mati mohon perhati
4811,sampah depan depot rawon setan jl embong malang ganggu estetika kota surabaya
4812,lampu pju empat jalan kapuas jalan cimanuk padam sejak 1 minggu lalu
4813,pju jalan raya balongsari depan camat mulai bundar margomulyo jembatan pintu air balong beberapa hari mati mohon baik suwun
4814,dear admin mohon bantu lampu pju tiga bratang wetan gg 1 gg 4 belakang pasar kru sering padam nyala sendiri terima kasih atas bantu
4815,trafic light mac donald jl mayjend sungkono kalau siang hijau nya sebentar 20 detik
4816,wadul bolak balik gak onok tindak lanjute trafic light nang makam pahlawan - mac donald ijone cepet lek awan 10 detik gak wajar iki yok opo dishub iki
4817,mohon info kapan jalan perum babatan pilang aspal info rt perum babatan pilang serah pemkot aspal masih tunggu tindak lanjut pemkot surabaya warga bolak balek semen jalan sekarang sudah tambah parah rusak terima kasih atas perhati moga kabar baik untuk masalah
4818,15hari air pdam daerah rumah mati benar apa pdam sehat kan salam cinta suroboyo
4819,siang hari tadi urus pirt unt usaha produk kopi kapan hari sudah hubung ssw bahwasannya syarat punya siup skrg sdh punya siup datang uptsa menur tanya sdh dinkes jawab lalu ke dinkes unt daftar suluh dulu alangkah kejut unt jadwal suluh ndak pasti tunggu dihub kapan kami tunggu ribetnya unt urus pirt padahal salah satu program pemkot bantu ukm utama diperijinannya kala urus ijin2 yg begitu praktis pasti unt urus pirt nggak pasti mohon tanggap
4820,e100ss sapawargasby sdh bulan lebih masjid dkt jln kenjeran-putro agung putar musik volume tinggi pagi hingga malam
4821,calon ibu dgn kandung umur 7bulanberniat manfaat bpjskarena hbsag sy positif rujuk faskes 1 rs tertentufaskes 1 sy dokter keluarga turun askes satu hari sy coba periksa kandung sy puskesmas domisili sy teslab hbsag sy ttp positif bidan yg saat hanya tenaga bantu krna tugas puskesmas asli sdg laksana sertifikasi saran ttp kontrol rutin puskesmas domisili tinggal sy fasilitas vaksinasi immunoglobulin hepastitis b anak sy kelaksy bilang bhwa faskes 1 sy bkn puskesmas tsb bidan ganti jawab boleh bu kan obat puskesmas pakai ktp bidan tsb jg blg bhwa nnti vaksin kirim rs tmpat sy melahirkanjumat lalu 8april2017 sy masuk rujuk sy rs mulai kontrol kandung pertama kalidisitu dokter jg kata bhwa sy minta kontrol rutin puskesmas mendptkan fasilitas vaksin yg memang mahal tsblalu kemarin 11april2017 sy periksa diri puskesmas niat bagaimana prosedur vaksinternyata tugas asli puskesmas nyata bhwa rs sy terlalu jauh dgn bagai alas sy olah paksa utk pindah rs rujuk sy bilang bhwa faskes 1 sy bkn puskesmas tsb bidan puskesmas tsb bilang gpp saya bisa buat rujuk asal nurut dgn puskesmas yg saya tanyakandalan kasus sy sy memang hak dapat fasilitas perintah upa vaksin calon bayi sy tsb ingat faskes 1 sy bukan puskesmas note bahkan sy suruh buat nyata status pasien puskesmas tsbcatatatan puskesmas yg maksud puskesmas gading
4822,asslm wr wb mohon info ektp a n sidarti soehita sdh ambil sdh 6bln
4823,media center surabaya ariyanto hermawan sudah info kait blanko e-ktp terbit e-ktp
4824,maaf mau tanya kalau mau gabung kursus blcnya cara gmn
4825,selamat pagi kak mau tanya kursus komputer gratis sby syarat syarat nya apa ya
4826,selamat sore pak darsono pucang sawit ucap banyak terima kasih salut skali atas tindak respont pemkot seluruh staf jajar disby yg mana sangat peduli tanggap atas keluh masyarakat nya lapor amen smga tuhan yg maha esa senantiyasa kati seluruh pimpin staf nya amin wassalam
4827,selamat siang ulung warga surabaya yg tinggal jalan dayu 1 no 3 surabaya ingin adu keluh kait himbauan pihak lurah morokrembangan segera bongkar warung dengan alas tertib walikota padahal warung area gang kampung bukan jalan raya warung sudah diri lama puluh tahun tidak pernah jadi apa apa padahal warung diri dalam gang kampung tepat di depan rumah masing masing telah izin rt rw kenapa pihak lurah morokrembangan suruh bongkar warung yg jelas jelas di dalam gang kampung tidak ada di jalan raya ganggu transportasi mohon jawab terimakasih atas perhati
4828,suroboyo makin maju berani i love u suroboyoku
4829,terminal purabaya bagai bandara juanda fasilitas cukup bagus trima kasih bu walikota cinta surabaya tambah cantik maju pesona
4830,potong dahan pohon jalan diponegoro hampir 3 hr di sih menggangu laju kendara
4831,sapawargasby siang sy ign tanya sy parkir sebrangnya siloam habis turun jembatan trs sy dcharge 5000 tp kasih bukti 2 lbr bnr
4832,mlebu masang banner parkir tulisane sewu di coret njaluk e sak motor 5rb
4833,sapawargasby sudah masuk berkas ke loket uptsa nomor 8458 st bn uptsa-p 2017 lanjut berkas bagaimana
4834,mungkin di info nomer dispendukcapil konfirmasi kemarin salah kirim kemudian kembali
4835,nama ikwan ariyanto nomor hp 085336821908 nama anak maulana achmad agus novianto purna paskibra th 2013 kuliah universitas surabaya jurus didik electronika udah coba ngajukan bidik misi mulai pertama semester 4 juga acc padahal udah sangat berat biaya semester ikut mohon solusi tetep lanjut kuliah alamat ktp jl donokerto baru gg b nomer 27 kapasari surabaya
4836,kecewa bgt sama layan parkir balai pemuda hari minggu jam 12 siang hilang helm ink area parkir lapor tugas dishub yg situ tuju lapor bkn krna helm kembali tp aman lebih utama lg jawab tugas dishub sangat kejut jangan helm mbak motor aja sering hilang kok bnr kecewa layan dishub tepat lapor bagi loket keluar tidak sempat lihat nama tugas krna suda antri belakang saya sangat kecewa
4837,kpan d karangpoh-tandes mau dong hehe tura
4838,tanggal berapa mas parade budaya dna bunga
4839,min kalau mau ikut parade bunga bagaimana cara
4840,mau tanya tata cara daftar ukm bank sampah tingkat rt rw lurah kebonsari camat jambang
4841,dear sir madamsaya mohon info proses aju wifi gratis taman baca masyarakat tbm di tbm belum wifinya alamat tbm jl kebonsari 7a pos kamling rt 04 rw 02 kel kebonsari kec jambang kota surabayabest regardsfikry
4842,adminmedia center surabayamelalui email kami mau tanya tentang1 situ surat ijin tempat usaha pemkot kota surabaya keluar situ klo keluar mana urus dapat situ 2 tetang ho masih bisa urus ho baru panjang ho lama pwrtanyaan atas perhati ucap terima kasihjati
4843,selamat siang bapak ibu admin mohon maaf komplain lewat website alami error pak ibu radit dulunya warga surabaya laku rekam ektp lalu pindah sidoarjo telah nikah kembali domisili surabaya bapak ibu ingin tanya perihal ktp surat antar jelas ektp dalam proses bisa sejak laku proses rekam ulang ektp hingga tidak beri apa pihak camat tegalsari surabaya ingat ktp kartu identitas ini sangat penting sedang saat ini saya bolak balik camat tegalsari untuk cek status rekam ektp saya sampai mana tentu sangat makan waktu saya posisi sedang kerja
4844,pju bulak cumpat barat 1 padam mhn sgr baik
4845,jam berapa acara parade budaya bunga
4846,jam berapa acara rujak uleg
4847,mau saran gimana kalo hmm apa nama traffic light yg pencet sendiri loh kasih cctv soalx banyak yg gubris walaupun lampu merah tetep aja jalan ngebut kayak tadi jalan tembok dukuh padahal anak remaja yg mau nyebrang lari buat langgar sanksi
4848,halo selamat pagi mau tanya ttg lapor bgm dg followupnya
4849,hati2 tikung rungkut harap mau merr beton tutup sdh kelupas sangat rawan laka sebab ban sobek
4850,terima kasih respon cepat -
4851,sapawargasby maaf tanya urus akte lahir dr lurah berapa lama jadi
4852,sapawargasby berapa lama urus surat terang suket dr camat 3 minggu malah suruh balik 3 minggu depan
4853,selamat malam tahun tiap hari jadi macet wiyung progress bangun jalan lambat sekali padahal rumah2 mewah makin banyak salah satu jalan yg pilih warga utk pergi spmall kapan nikmat jalan raya nyaman hampir 25 th tinggal wiyung tolooong bu risma
4854,pernah lapor via lapor belum selesai via media center sama lapor yth menteri sehat mohon bantu nya kait panjang sipa sia sejak oktober 2016 belum selesai proses nya sangat rumit belit sudah kali - kali datang uptsa lalu minta dinas sehat kota surabaya kembali uptsa sampai saat jelas lanjut sudah pernah lapor lalu media center surabaya tanggap bapak erwin lalu lanjut solusi masalah turut bapak erwin dinas sehat masalah alamat imb tidak sesuai sudah coba urus surat terang alamat sama sesuai arah bapak erwin lalu milik bangun ibu goo lee lian sejak 7 februari 2017 beberapa kali telpon dinas cipta karya belum ada surat jawab mohon tanggap solusi proses sangat belit saat ini kerja sangat hambat mana tidak laku mesan obat distributor mohon ditindaklanjuti terima kasih
4855,pagi bu risma mohon bantu selokan depan rumah isi sampah kuatir banjir mohon bantu terimakasih
4856,assalamu alaikum sedikit curhat kemarin ngurus paspor orang tua yang mau berangkat umroh san nyata masalah tulis nama surat nikah da kk sama ktp terus sama orang kantor imigrasi suruh minta surat terang kua nama yg pakai disesuaiin kk sama ktp telah dibikinin hari balik kantor imigrasi nyata suruh pakai nama sesuai surat nikah saya sini rasa main dibodoh2i
4857,selamat malam mau tanya pak bu warga surabaya yg alamat karangpoh kec tandes baru meni warga diri beberapa bulan lalu sedang urus kk surabaya yg mau tanya apakah buat kk baru biaya kemarin saat mungurus surat antar rt rw diberitahukan pak rt kait biaya buat kk baru tunjuk surat kop surat lurah karangpoh dalam surat sebut jelas biaya buat kk baru tambah warga luar surabaya besar 250rb orang rincian 50rb kas rt 100rb kas rw 100rb nya apa saya lupa sedang buat kk baru 1 keluarga asal luar surabaya biaya 1jt uang sebut bayar rw mohon jawab pak bu terimakasih
4858,slmt siang lapor jalan berlobang jl ngagel jaya tengah depan persil no 1
4859,mohon bantu dpumbp unt tambal jalan kalibokor yg masuk k pucang sawit
4860,selamat siang mau tanya bagaimana cara daftar latih blc gratis cara online soal dr td pagi coba daftar tp gagal mohon informasi terimakasih
4861,dpubmp jalan tembaan depan tugu pahlawan tutup selokan jebol terima kasih moga segera tangan
4862,dinas kait mohon bantu pju lampu taman rusun warugunung baik sdh tahun kami gelap - gelap kami ucap terima kasih
4863,yth dinas pdam mohon baik ingat jalan dukuh kupang utara 1selalu ramai lalu lalang orang tua siswa giki mohon perhati nya pipa nya lihat terima kasih
4864,daerah waru kah blc brp 1bln
4865,mau tanya ini kursus komputer
4866,dari rt 02 rw 12 kel sidotopo wetan lampu pju randu barat gg 7 no 26 padam rusak mohon bantu spy baik ganti
4867,selamat sore pak bu warga kec kenjeran ikut program blc bgm kpn mana nwn
4868,kalau ingin daftar rumah susun rusun bagi kantor apa terimakasih
4869,mohon informasi apa pemkot surabaya thn buka lowong cpns
4870,saran surabaya kasih trans surabaya kota2 lebih murah bagus nyaman
4871,biasa kalau mau daftar mana ada cpnya siapa
4872,selamat pagi mohon info bpk kalo festivak tunjung para tenant daftar bazar siapa mohon info bpk terima kasih byk
4873,usul bagaimana kalau taman surabaya tanam pohon pohon bunga yg di bahan dunia siapa tahu tumbuh kembang misal tulip sakura
4874,luluis tahun bisa daftar gak min job fair
4875,min lowong buat jadi satpol pp tahun nggak
4876,sapawargasby pbb sby tgl jatuh tempo bulan apa belum terima sppt
4877,apa stiap rt surabaya di distribusi bibit tanam cabe warga nya e100ss sapawargasby
4878,sapawargasby jln lubang besar yg membhyakn pngendara d jl bendul risi depan toko bangun dkt fotocopy bintang mhon benah
4879,yg suami ganti data pindah alamat syarat nya sama di surabaya cuma beda camat min terimakasih
4880,mohon pemkot surabaya utk pasang trafik legh depan kntor lurah kebonsari kec jambang apa situ banyak anak2 sekolah berangkat pulng menyebrang jln tsb
4881,sya mnt tlong sya asli org srby msh blm pny tmpt tinggal pnghasilan sya msh jauh d bwh umk sya aju mohon mndapatkan rusunawa sya tw ap syarat2nya n apakh sya udh trmsuk kategori mndptkan rusunawa mnt tlong bantu bpk ibu
